"jjj","margin","n","true_es","scale","equiv","hdi","bf","tost"
1,0.1,50,0,0.353553390593274,0.0586,0.0602048163853108,0.05884,0
2,0.2,50,0,0.353553390593274,0.08544,0.0826066085286823,0.0812,0
3,0.3,50,0,0.353553390593274,0.15788,0.14425154012321,0.13872,0.004
4,0.1,100,0,0.353553390593274,0.0664,0.066650664106257,0.06636,0
5,0.2,100,0,0.353553390593274,0.13996,0.142502800448072,0.13588,8e-05
6,0.3,100,0,0.353553390593274,0.39492,0.376700272043527,0.37836,0.36004
7,0.1,250,0,0.353553390593274,0.09604,0.0990079206336507,0.09684,0
8,0.2,250,0,0.353553390593274,0.4608,0.462076966157293,0.46176,0.44364
9,0.3,250,0,0.353553390593274,0.91328,0.913233058644692,0.91492,0.91272
10,0.1,500,0,0.353553390593274,0.1684,0.175797350834367,0.17716,0.00052
11,0.2,500,0,0.353553390593274,0.87112,0.871251851555306,0.87156,0.87068
12,0.3,500,0,0.353553390593274,0.99808,0.99807907795742,0.99804,0.99804
13,0.1,50,0.01,0.353553390593274,0.05868,0.0600144034568296,0.05816,0
14,0.2,50,0.01,0.353553390593274,0.08352,0.0814995598943746,0.08172,0
15,0.3,50,0.01,0.353553390593274,0.15668,0.145434904377051,0.13856,0.0036
16,0.1,100,0.01,0.353553390593274,0.06748,0.0689227569102764,0.06728,0
17,0.2,100,0.01,0.353553390593274,0.13968,0.143445737829513,0.1352,0
18,0.3,100,0.01,0.353553390593274,0.39568,0.377455098203928,0.37876,0.36108
19,0.1,250,0.01,0.353553390593274,0.09488,0.0963238529541182,0.09552,0
20,0.2,250,0.01,0.353553390593274,0.46,0.462098483939358,0.46172,0.44292
21,0.3,250,0.01,0.353553390593274,0.91004,0.909916396655866,0.91164,0.9094
22,0.1,500,0.01,0.353553390593274,0.16672,0.172202657275492,0.17424,0.00032
23,0.2,500,0.01,0.353553390593274,0.86552,0.865892714171337,0.86584,0.86516
24,0.3,500,0.01,0.353553390593274,0.99756,0.997598751350702,0.99752,0.99756
25,0.1,50,0.02,0.353553390593274,0.05696,0.0579223168926757,0.05788,0
26,0.2,50,0.02,0.353553390593274,0.08364,0.0794431777271091,0.08164,0
27,0.3,50,0.02,0.353553390593274,0.15616,0.144285771430857,0.13972,0.0036
28,0.1,100,0.02,0.353553390593274,0.06756,0.06916,0.06596,0
29,0.2,100,0.02,0.353553390593274,0.13848,0.14404,0.13528,4e-05
30,0.3,100,0.02,0.353553390593274,0.3934,0.37488,0.37684,0.35928
31,0.1,250,0.02,0.353553390593274,0.09016,0.094975196031365,0.0952,0
32,0.2,250,0.02,0.353553390593274,0.45272,0.454832773243719,0.45444,0.4364
33,0.3,250,0.02,0.353553390593274,0.90236,0.902464394303088,0.90376,0.90184
34,0.1,500,0.02,0.353553390593274,0.1618,0.16769390858881,0.16912,0.00048
35,0.2,500,0.02,0.353553390593274,0.85028,0.850670402241345,0.85024,0.84992
36,0.3,500,0.02,0.353553390593274,0.99692,0.996918027537624,0.99696,0.99692
37,0.1,50,0.03,0.353553390593274,0.05684,0.0554,0.05708,0
38,0.2,50,0.03,0.353553390593274,0.08064,0.07908,0.08156,0
39,0.3,50,0.03,0.353553390593274,0.1548,0.14268,0.13864,0.0046
40,0.1,100,0.03,0.353553390593274,0.06444,0.0667280073608833,0.06336,0
41,0.2,100,0.03,0.353553390593274,0.13616,0.141817018042165,0.13316,4e-05
42,0.3,100,0.03,0.353553390593274,0.39008,0.371324558947074,0.37328,0.35516
43,0.1,250,0.03,0.353553390593274,0.08792,0.0918183636727345,0.09084,0
44,0.2,250,0.03,0.353553390593274,0.44092,0.443128625725145,0.44228,0.42424
45,0.3,250,0.03,0.353553390593274,0.89364,0.893578715743149,0.89532,0.89304
46,0.1,500,0.03,0.353553390593274,0.15268,0.159703881552621,0.16068,6e-04
47,0.2,500,0.03,0.353553390593274,0.82764,0.827983670855679,0.82832,0.82732
